date,number_of_bicycle_hires
2022-07-05,44717
2022-07-06,45401
2022-07-07,46050
2022-07-08,44741
2022-07-09,47058
2022-07-10,44154
2022-07-11,42739
2022-07-12,45037
2022-07-13,46715
2022-07-14,46293
2022-07-15,45023
2022-07-16,48260
2022-07-17,40796
2022-07-18,38798
2022-07-19,36895
2022-07-20,42070
2022-07-21,41430
2022-07-22,39453
2022-07-23,43414
2022-07-24,40175
2022-07-25,38114
2022-07-26,41296
2022-07-27,39282
2022-07-28,43096
2022-07-29,41584
2022-07-30,42718
2022-07-31,36041
2022-08-01,39471
2022-08-02,43885
2022-08-03,43731
2022-08-04,43239
2022-08-05,41383
2022-08-06,43546
2022-08-07,40347
2022-08-08,41602
2022-08-09,44418
2022-08-10,44518
2022-08-11,43132
2022-08-12,40118
2022-08-13,42116
2022-08-14,38252
2022-08-15,37735
2022-08-16,36390
2022-08-17,32093
2022-08-18,41050
2022-08-19,66972
2022-08-20,48010
2022-08-21,39807
2022-08-22,38066
2022-08-23,41519
2022-08-24,42948
2022-08-25,24736
2022-08-26,36636
2022-08-27,37025
2022-08-28,35994
2022-08-29,34262
2022-08-30,36911
2022-08-31,40020
2022-09-01,37781
2022-09-02,36072
2022-09-03,37957
2022-09-04,33863
2022-09-05,35571
2022-09-06,34323
2022-09-07,36468
2022-09-08,27763
2022-09-09,30285
2022-09-10,0
2022-09-11,0
2022-09-12,22560
2022-09-13,22967
2022-09-14,30459
2022-09-15,29192
2022-09-16,26532
2022-09-17,24819
2022-09-18,22844
2022-09-19,23197
2022-09-20,29688
2022-09-21,31156
2022-09-22,31360
2022-09-23,24856
2022-09-24,25246
2022-09-25,21402
2022-09-26,22458
2022-09-27,25701
2022-09-28,29470
2022-09-29,28322
2022-09-30,18638
2022-10-01,26895
2022-10-02,22417
2022-10-03,28739
2022-10-04,31355
2022-10-05,27420
2022-10-06,32978
2022-10-07,28071
2022-10-08,30983
2022-10-09,25691
2022-10-10,26070
2022-10-11,33076
2022-10-12,28307
2022-10-13,31433
2022-10-14,28015
2022-10-15,26042
2022-10-16,22793
2022-10-17,27900
2022-10-18,32208
2022-10-19,31765
2022-10-20,25295
2022-10-21,25143
2022-10-22,27676
2022-10-23,14625
2022-10-24,26888
2022-10-25,31397
2022-10-26,32015
2022-10-27,31983
2022-10-28,30083
2022-10-29,29650
2022-10-30,20989
2022-10-31,26467
2022-11-01,24850
2022-11-02,27494
2022-11-03,22601
2022-11-04,26995
2022-11-05,16082
2022-11-06,12392
2022-11-07,21608
2022-11-08,24779
2022-11-09,28454
2022-11-10,44677
2022-11-11,30498
2022-11-12,27228
2022-11-13,21305
2022-11-14,27264
2022-11-15,22414
2022-11-16,19784
2022-11-17,23733
2022-11-18,26442
2022-11-19,22308
2022-11-20,16513
2022-11-21,19990
2022-11-22,27394
2022-11-23,24250
2022-11-24,25170
2022-11-25,26857
2022-11-26,22226
2022-11-27,12985
2022-11-28,24307
2022-11-29,27072
2022-11-30,27884
2022-12-01,27401
2022-12-02,23550
2022-12-03,19139
2022-12-04,14513
2022-12-05,23342
2022-12-06,25860
2022-12-07,24575
2022-12-08,22686
2022-12-09,21496
2022-12-10,16795
2022-12-11,9848
2022-12-12,13351
2022-12-13,16527
2022-12-14,16593
2022-12-15,17166
2022-12-16,15580
2022-12-17,13024
2022-12-18,5853
2022-12-19,13202
2022-12-20,18194
2022-12-21,16661
2022-12-22,13645
2022-12-23,9269
2022-12-24,8291
2022-12-25,16298
2022-12-26,7301
2022-12-27,7002
2022-12-28,6461
2022-12-29,11264
2022-12-30,9327
2022-12-31,7619
2023-01-01,10139
2023-01-02,11695
2023-01-03,12497
2023-01-04,16650
2023-01-05,18493
2023-01-06,18171
2023-01-07,12131
2023-01-08,9263
2023-01-09,21921
2023-01-10,17184
2023-01-11,23001
2023-01-12,21966
2023-01-13,21638
2023-01-14,14227
2023-01-15,15303
2023-01-16,19783
2023-01-17,22254
2023-01-18,22755
2023-01-19,22915
2023-01-20,20272
2023-01-21,17236
2023-01-22,14056
2023-01-23,20458
2023-01-24,23567
2023-01-25,20321
2023-01-26,22319
2023-01-27,21288
2023-01-28,17475
2023-01-29,14276
2023-01-30,22557
2023-01-31,25322
2023-02-01,22585
2023-02-02,25034
2023-02-03,22559
2023-02-04,20058
2023-02-05,17685
2023-02-06,23252
2023-02-07,24642
2023-02-08,24594
2023-02-09,25102
2023-02-10,22001
2023-02-11,18973
2023-02-12,16234
2023-02-13,23135
2023-02-14,24692
2023-02-15,24962
2023-02-16,24128
2023-02-17,22381
2023-02-18,18352
2023-02-19,18961
2023-02-20,23158
2023-02-21,25505
2023-02-22,21067
2023-02-23,24275
2023-02-24,21713
2023-02-25,17754
2023-02-26,14344
2023-02-27,21973
2023-02-28,24206
2023-03-01,24590
2023-03-02,25076
2023-03-03,21714
2023-03-04,17136
2023-03-05,13536
2023-03-06,18509
2023-03-07,22692
2023-03-08,12930
2023-03-09,16466
2023-03-10,16908
2023-03-11,16110
2023-03-12,15161
2023-03-13,20996
2023-03-14,22602
2023-03-15,35319
2023-03-16,25403
2023-03-17,20555
2023-03-18,17470
2023-03-19,16549
2023-03-20,21543
2023-03-21,26474
2023-03-22,24920
2023-03-23,22781
2023-03-24,19171
2023-03-25,20778
2023-03-26,11915
2023-03-27,24102
2023-03-28,19949
2023-03-29,22309
2023-03-30,24147
2023-03-31,12794
2023-04-01,17964
2023-04-02,17095
2023-04-03,23224
2023-04-04,27231
2023-04-05,22420
2023-04-06,19418
2023-04-07,20576
2023-04-08,19223
2023-04-09,18747
2023-04-10,9934
2023-04-11,17631
2023-04-12,20210
2023-04-13,24677
2023-04-14,17135
2023-04-15,20678
2023-04-16,19581
2023-04-17,25688
2023-04-18,26225
2023-04-19,28238
2023-04-20,25061
2023-04-21,21039
2023-04-22,23052
2023-04-23,14472
2023-04-24,18532
2023-04-25,27531
2023-04-26,27130
2023-04-27,20535
2023-04-28,24240
2023-04-29,26845
2023-04-30,22567
2023-05-01,21842
2023-05-02,27325
2023-05-03,29881
2023-05-04,29177
2023-05-05,25198
2023-05-06,12502
2023-05-07,24094
2023-05-08,17283
2023-05-09,25650
2023-05-10,28208
2023-05-11,28515
2023-05-12,21517
2023-05-13,22245
2023-05-14,24365
2023-05-15,26345
2023-05-16,31329
2023-05-17,30921
2023-05-18,32610
2023-05-19,28230
2023-05-20,27578
2023-05-21,22658
2023-05-22,28254
2023-05-23,31538
2023-05-24,32716
2023-05-25,31233
2023-05-26,28057
2023-05-27,26196
2023-05-28,28227
2023-05-29,22885
2023-05-30,27842
2023-05-31,27012
2023-06-01,29301
2023-06-02,26403
2023-06-03,25014
2023-06-04,25537
2023-06-05,27052
2023-06-06,29621
2023-06-07,31445
2023-06-08,31881
2023-06-09,28768
2023-06-10,29037
2023-06-11,23980
2023-06-12,27387
2023-06-13,33722
2023-06-14,34239
2023-06-15,34087
2023-06-16,31299
2023-06-17,28062
2023-06-18,19854
2023-06-19,31379
2023-06-20,27861
2023-06-21,34536
2023-06-22,33494
2023-06-23,31466
2023-06-24,27903
2023-06-25,26511
2023-06-26,30564
2023-06-27,33363
2023-06-28,33620
2023-06-29,29539
2023-06-30,27805
2023-07-01,26059
2023-07-02,23634
2023-07-03,27828
2023-07-04,22508
2023-07-05,31386
2023-07-06,33482
2023-07-07,30999
2023-07-08,21428
2023-07-09,25178
2023-07-10,29560
2023-07-11,31414
2023-07-12,32066
2023-07-13,30853
2023-07-14,16854
2023-07-15,23218
2023-07-16,20743
2023-07-17,28656
2023-07-18,32085
2023-07-19,30549
2023-07-20,29287
2023-07-21,26732
2023-07-22,12578
2023-07-23,22251
2023-07-24,23875
2023-07-25,31327
2023-07-26,25760
2023-07-27,28322
2023-07-28,26933
2023-07-29,25104
2023-07-30,14707
2023-07-31,23312
2023-08-01,30114
2023-08-02,20685
2023-08-03,29898
2023-08-04,25021
2023-08-05,11677
2023-08-06,20559
2023-08-07,26708
2023-08-08,22258
2023-08-09,31870
2023-08-10,31007
2023-08-11,25972
2023-08-12,21691
2023-08-13,21062
2023-08-14,23692
2023-08-15,30997
2023-08-16,31194
2023-08-17,30261
2023-08-18,22135
2023-08-19,24014
2023-08-20,22268
2023-08-21,26965
2023-08-22,30047
2023-08-23,31178
2023-08-24,25143
2023-08-25,24224
2023-08-26,17598
2023-08-27,19458
2023-08-28,20974
2023-08-29,25538
2023-08-30,28786
2023-08-31,25342
2023-09-01,22562
2023-09-02,24753
2023-09-03,23748
2023-09-04,29360
2023-09-05,32355
2023-09-06,32926
2023-09-07,33064
2023-09-08,29055
2023-09-09,27173
2023-09-10,23971
2023-09-11,29900
2023-09-12,30202
2023-09-13,32568
2023-09-14,33814
2023-09-15,31139
2023-09-16,30441
2023-09-17,18611
2023-09-18,27708
2023-09-19,29412
2023-09-20,20300
2023-09-21,25549
2023-09-22,27104
2023-09-23,25767
2023-09-24,21664
2023-09-25,30011
2023-09-26,32815
2023-09-27,32972
2023-09-28,31853
2023-09-29,29334
2023-09-30,26977
2023-10-01,23661
2023-10-02,27629
2023-10-03,32414
2023-10-04,28910
2023-10-05,32954
2023-10-06,30427
2023-10-07,29353
2023-10-08,26987
2023-10-09,32177
2023-10-10,34850
2023-10-11,30972
2023-10-12,26120
2023-10-13,23309
2023-10-14,25107
2023-10-15,20718
2023-10-16,26476
2023-10-17,30175
2023-10-18,20814
2023-10-19,24305
2023-10-20,23331
2023-10-21,13662
2023-10-22,20686
2023-10-23,23064
2023-10-24,24096
2023-10-25,25798
2023-10-26,24995
2023-10-27,23226
2023-10-28,18970
2023-10-29,12317
2023-10-30,25269
2023-10-31,27035
2023-11-01,23706
2023-11-02,18045
2023-11-03,22618
2023-11-04,16553
2023-11-05,16786
2023-11-06,25607
2023-11-07,28731
2023-11-08,20839
2023-11-09,24709
2023-11-10,21416
2023-11-11,23666
2023-11-12,13178
2023-11-13,22757
2023-11-14,24032
2023-11-15,27817
2023-11-16,23937
2023-11-17,23990
2023-11-18,15789
2023-11-19,15982
2023-11-20,24967
2023-11-21,26871
2023-11-22,27043
2023-11-23,28508
2023-11-24,22974
2023-11-25,18246
2023-11-26,12374
2023-11-27,18914
2023-11-28,25817
2023-11-29,25418
2023-11-30,23691
2023-12-01,19526
2023-12-02,13980
2023-12-03,9849
2023-12-04,18419
2023-12-05,21115
2023-12-06,23529
2023-12-07,20903
2023-12-08,22701
2023-12-09,14850
2023-12-10,11483
2023-12-11,23354
2023-12-12,21554
2023-12-13,21712
2023-12-14,21168
2023-12-15,20826
2023-12-16,16087
2023-12-17,13560
2023-12-18,19049
2023-12-19,12532
2023-12-20,18769
2023-12-21,16115
2023-12-22,12966
2023-12-23,9674
2023-12-24,6942
2023-12-25,13365
2023-12-26,7214
2023-12-27,6721
2023-12-28,7956
2023-12-29,11006
2023-12-30,8801
2023-12-31,8397
2024-01-01,8212
2024-01-02,9769
2024-01-03,15255
2024-01-04,12987
2024-01-05,15430
2024-01-06,13370
2024-01-07,11508
2024-01-08,17428
2024-01-09,20665
2024-01-10,20887
2024-01-11,21096
2024-01-12,18811
2024-01-13,14698
2024-01-14,12909
2024-01-15,20275
2024-01-16,22379
2024-01-17,22084
2024-01-18,21403
2024-01-19,18804
2024-01-20,14573
2024-01-21,11607
2024-01-22,21077
2024-01-23,20436
2024-01-24,24682
2024-01-25,24677
2024-01-26,21669
2024-01-27,16959
2024-01-28,15540
2024-01-29,22839
2024-01-30,22303
2024-01-31,24505
2024-02-01,24839
2024-02-02,21427
2024-02-03,17434
2024-02-04,14998
2024-02-05,22260
2024-02-06,23315
2024-02-07,23542
2024-02-08,12260
2024-02-09,17511
2024-02-10,15964
2024-02-11,15157
2024-02-12,22298
2024-02-13,20228
2024-02-14,21864
2024-02-15,24887
2024-02-16,21651
2024-02-17,16787
2024-02-18,14945
2024-02-19,22584
2024-02-20,25160
2024-02-21,16906
2024-02-22,16240
2024-02-23,18487
2024-02-24,17561
2024-02-25,12595
2024-02-26,20621
2024-02-27,24669
2024-02-28,24061
2024-02-29,17788
2024-03-01,15299
2024-03-02,13137
2024-03-03,16221
2024-03-04,22740
2024-03-05,24567
2024-03-06,25869
2024-03-07,25347
2024-03-08,22662
2024-03-09,21041
2024-03-10,7479
2024-03-11,22058
2024-03-12,16085
2024-03-13,26083
2024-03-14,25698
2024-03-15,22516
2024-03-16,23067
2024-03-17,16637
2024-03-18,25575
2024-03-19,27103
2024-03-20,28381
2024-03-21,28215
2024-03-22,22273
2024-03-23,19159
2024-03-24,18219
2024-03-25,23399
2024-03-26,19287
2024-03-27,23166
2024-03-28,16576
2024-03-29,15713
2024-03-30,19917
2024-03-31,13883
2024-04-01,17320
2024-04-02,18489
2024-04-03,22786
2024-04-04,22111
2024-04-05,20842
2024-04-06,23408
2024-04-07,19581
2024-04-08,21438
2024-04-09,22347
2024-04-10,24265
2024-04-11,27813
2024-04-12,26661
2024-04-13,27993
2024-04-14,21193
2024-04-15,20604
2024-04-16,25005
2024-04-17,26063
2024-04-18,27085
2024-04-19,20665
2024-04-20,21582
2024-04-21,18359
2024-04-22,23807
2024-04-23,24262
2024-04-24,26428
2024-04-25,23416
2024-04-26,25391
2024-04-27,15570
2024-04-28,13022
2024-04-29,26963
2024-04-30,30777
2024-05-01,29968
2024-05-02,27686
2024-05-03,15983
2024-05-04,24179
2024-05-05,23303
2024-05-06,10684
2024-05-07,28825
2024-05-08,31973
2024-05-09,34978
2024-05-10,32947
2024-05-11,31353
2024-05-12,28808
2024-05-13,28958
2024-05-14,25584
2024-05-15,32757
2024-05-16,26093
2024-05-17,29357
2024-05-18,27078
2024-05-19,29443
2024-05-20,32109
2024-05-21,18813
2024-05-22,16947
2024-05-23,30434
2024-05-24,27523
2024-05-25,27107
2024-05-26,25074
2024-05-27,21412
2024-05-28,22870
2024-05-29,30748
2024-05-30,27013
2024-05-31,22963
2024-06-01,23264
2024-06-02,27710
2024-06-03,27676
2024-06-04,28880
2024-06-05,31142
2024-06-06,31558
2024-06-07,28592
2024-06-08,26163
2024-06-09,25644
2024-06-10,23647
2024-06-11,29836
2024-06-12,30467
2024-06-13,27347
2024-06-14,25700
2024-06-15,18048
2024-06-16,26152
2024-06-17,31296
2024-06-18,32158
2024-06-19,32589
2024-06-20,33836
2024-06-21,30186
2024-06-22,27408
2024-06-23,31919
2024-06-24,31578
2024-06-25,35190
2024-06-26,34515
2024-06-27,33718
2024-06-28,29513
2024-06-29,29372
2024-06-30,24226
2024-07-01,28380
2024-07-02,29851
2024-07-03,29102
2024-07-04,33013
2024-07-05,16115
2024-07-06,16330
2024-07-07,18236
2024-07-08,25248
2024-07-09,23098
2024-07-10,31742
2024-07-11,31555
2024-07-12,27299
2024-07-13,26402
2024-07-14,27051
2024-07-15,23478
2024-07-16,30739
2024-07-17,33580
2024-07-18,33700
2024-07-19,31605
2024-07-20,27887
2024-07-21,26903
2024-07-22,29737
2024-07-23,32088
2024-07-24,32806
2024-07-25,28334
2024-07-26,29953
2024-07-27,29777
2024-07-28,28508
2024-07-29,31615
2024-07-30,34809
2024-07-31,34683
2024-08-01,29579
2024-08-02,29585
2024-08-03,28892
2024-08-04,26129
2024-08-05,30355
2024-08-06,28834
2024-08-07,30746
2024-08-08,28459
2024-08-09,29086
2024-08-10,27441
2024-08-11,28189
2024-08-12,29969
2024-08-13,33449
2024-08-14,32118
2024-08-15,30900
2024-08-16,29739
2024-08-17,29922
2024-08-18,27020
2024-08-19,28023
2024-08-20,31355
2024-08-21,30177
2024-08-22,25142
2024-08-23,25825
2024-08-24,10985
2024-08-25,22053
2024-08-26,22491
2024-08-27,29762
2024-08-28,31389
2024-08-29,31271
2024-08-30,28656
2024-08-31,24206
2024-09-01,25754
2024-09-02,26535
2024-09-03,31455
2024-09-04,30954
2024-09-05,22364
2024-09-06,24344
2024-09-07,25392
2024-09-08,21605
2024-09-09,27188
2024-09-10,26707
2024-09-11,28335
2024-09-12,28408
2024-09-13,26739
2024-09-14,27141
2024-09-15,22895
2024-09-16,29063
2024-09-17,31957
2024-09-18,32452
2024-09-19,32997
2024-09-20,29257
2024-09-21,29215
2024-09-22,18458
2024-09-23,24471
2024-09-24,30929
2024-09-25,25974
2024-09-26,24899
2024-09-27,19499
2024-09-28,25514
2024-09-29,18982
2024-09-30,22482
2024-10-01,20774
2024-10-02,28360
2024-10-03,30605
2024-10-04,27988
2024-10-05,26582
2024-10-06,18408
2024-10-07,28125
2024-10-08,25316
2024-10-09,30708
2024-10-10,28815
2024-10-11,28213
2024-10-12,22239
2024-10-13,20126
2024-10-14,19090
2024-10-15,30500
2024-10-16,31214
2024-10-17,32080
2024-10-18,28261
2024-10-19,22395
2024-10-20,15468
2024-10-21,27584
2024-10-22,31865
2024-10-23,31895
2024-10-24,32346
2024-10-25,24816
2024-10-26,23337
2024-10-27,24795
2024-10-28,25700
2024-10-29,30592
2024-10-30,31214
2024-10-31,31566
2024-11-01,27055
2024-11-02,23955
2024-11-03,20510
2024-11-04,27091
2024-11-05,29545
2024-11-06,28631
2024-11-07,28350
2024-11-08,25490
2024-11-09,21189
2024-11-10,18237
2024-11-11,27148
2024-11-12,28036
2024-11-13,29515
2024-11-14,29426
2024-11-15,25653
2024-11-16,21136
2024-11-17,17346
2024-11-18,19615
2024-11-19,17590
2024-11-20,25180
2024-11-21,24396
2024-11-22,22179
2024-11-23,12075
2024-11-24,13503
2024-11-25,24620
2024-11-26,27994
2024-11-27,23679
2024-11-28,26533
2024-11-29,24375
2024-11-30,21570
2024-12-01,12955
2024-12-02,24806
2024-12-03,27533
2024-12-04,26448
2024-12-05,21609
2024-12-06,23488
2024-12-07,9901
2024-12-08,8730
2024-12-09,23017
2024-12-10,24695
2024-12-11,25218
2024-12-12,22734
2024-12-13,19553
2024-12-14,17956
2024-12-15,15240
2024-12-16,21272
2024-12-17,22366
2024-12-18,19825
2024-12-19,20105
2024-12-20,15951
2024-12-21,11043
2024-12-22,8964
2024-12-23,11315
2024-12-24,9441
2024-12-25,21560
2024-12-26,7741
2024-12-27,9703
2024-12-28,9243
2024-12-29,8936
2024-12-30,12316
2024-12-31,12845
2025-01-01,5399
2025-01-02,13721
2025-01-03,13674
2025-01-04,10491
2025-01-05,5935
2025-01-06,14965
2025-01-07,20035
2025-01-08,19085
2025-01-09,21382
2025-01-10,17442
2025-01-11,13366
2025-01-12,11082
2025-01-13,21733
2025-01-14,25049
2025-01-15,23666
2025-01-16,25126
2025-01-17,21633
2025-01-18,16226
2025-01-19,13497
2025-01-20,22704
2025-01-21,25346
2025-01-22,24297
2025-01-23,23056
2025-01-24,20395
2025-01-25,19210
2025-01-26,8954
2025-01-27,19425
2025-01-28,20379
2025-01-29,26064
2025-01-30,26648
2025-01-31,17963
2025-02-01,16720
2025-02-02,16586
2025-02-03,22888
2025-02-04,25622
2025-02-05,26382
2025-02-06,26090
2025-02-07,14753
2025-02-08,12721
2025-02-09,11596
2025-02-10,17993
2025-02-11,24450
2025-02-12,24469
2025-02-13,24552
2025-02-14,20800
2025-02-15,14378
2025-02-16,13703
2025-02-17,21263
2025-02-18,23915
2025-02-19,23925
2025-02-20,22515
2025-02-21,18228
2025-02-22,18819
2025-02-23,14408
2025-02-24,19032
2025-02-25,26633
2025-02-26,21984
2025-02-27,26300
2025-02-28,23454
2025-03-01,19734
2025-03-02,18379
2025-03-03,24647
2025-03-04,28010
2025-03-05,28416
2025-03-06,29196
2025-03-07,26438
2025-03-08,26493
2025-03-09,23802
2025-03-10,25149
2025-03-11,26947
2025-03-12,25972
2025-03-13,23776
2025-03-14,22336
2025-03-15,20094
2025-03-16,16381
2025-03-17,23802
2025-03-18,27369
2025-03-19,29044
2025-03-20,30696
2025-03-21,26111
2025-03-22,23395
2025-03-23,18258
2025-03-24,26048
2025-03-25,27802
2025-03-26,29256
2025-03-27,30077
2025-03-28,24616
2025-03-29,23986
2025-03-30,21734
2025-03-31,26923
2025-04-01,28164
2025-04-02,28943
2025-04-03,29578
2025-04-04,27374
2025-04-05,25428
2025-04-06,21149
2025-04-07,25735
2025-04-08,28365
2025-04-09,27116
2025-04-10,28081
2025-04-11,27632
2025-04-12,27077
2025-04-13,18953
2025-04-14,24656
2025-04-15,21451
2025-04-16,27165
2025-04-17,26185
2025-04-18,19205
2025-04-19,19013
2025-04-20,15116
2025-04-21,14806
2025-04-22,26388
2025-04-23,22505
2025-04-24,28944
2025-04-25,27004
2025-04-26,23590
2025-04-27,24248
2025-04-28,29955
2025-04-29,33604
2025-04-30,33783
2025-05-01,34938
2025-05-02,31642
2025-05-03,26695
2025-05-04,20569
2025-05-05,17892
2025-05-06,28201
2025-05-07,30337
2025-05-08,30941
2025-05-09,29017
2025-05-10,29278
2025-05-11,26003
2025-05-12,30663
2025-05-13,34095
2025-05-14,33726
2025-05-15,29940
2025-05-16,30017
2025-05-17,27628
2025-05-18,21888
2025-05-19,29321
2025-05-20,33420
2025-05-21,27816
2025-05-22,31012
2025-05-23,27585
2025-05-24,20911
2025-05-25,21620
2025-05-26,18419
2025-05-27,22770
2025-05-28,29725
2025-05-29,25522
2025-05-30,29232
2025-05-31,28670
2025-06-01,22164
2025-06-02,28822
2025-06-03,26683
2025-06-04,30150
2025-06-05,18813
2025-06-06,26190
2025-06-07,15916
2025-06-08,22115
2025-06-09,29251
2025-06-10,31591
2025-06-11,32437
2025-06-12,32301
2025-06-13,29089
2025-06-14,28025
2025-06-15,23639
2025-06-16,30829
2025-06-17,33908
2025-06-18,34720
2025-06-19,34878
2025-06-20,31319
2025-06-21,28318
2025-06-22,24922
2025-06-23,30429
2025-06-24,31502
2025-06-25,32343
2025-06-26,32023
2025-06-27,30277
2025-06-28,27565
2025-06-29,25605
2025-06-30,31531
2025-07-01,33737
2025-07-02,30748
2025-07-03,34415
2025-07-04,31137
2025-07-05,24863
2025-07-06,21352
2025-07-07,26704
2025-07-08,34553
2025-07-09,34211
2025-07-10,35172
2025-07-11,31746
2025-07-12,28433
2025-07-13,25475
2025-07-14,30945
2025-07-15,31511
2025-07-16,33188
2025-07-17,31942
2025-07-18,30134
2025-07-19,15480
2025-07-20,20385
2025-07-21,25226
2025-07-22,30406
2025-07-23,30546
2025-07-24,27712
2025-07-25,30055
2025-07-26,25990
2025-07-27,23024
2025-07-28,29840
2025-07-29,30910
2025-07-30,32188
2025-07-31,26454
2025-08-01,26290
2025-08-02,24544
2025-08-03,23555
2025-08-04,26149
2025-08-05,188
2025-08-06,30069
2025-08-07,29724
2025-08-08,24686
2025-08-09,26107
2025-08-10,30639
2025-08-11,28359
2025-08-12,31624
2025-08-13,29180
2025-08-14,30843
2025-08-15,28467
2025-08-16,23747
2025-08-17,31690
2025-08-18,26726
2025-08-19,29654
2025-08-20,29311
2025-08-21,27666
2025-08-22,25413
2025-08-23,22711
2025-08-24,26664
2025-08-25,23069
2025-08-26,26865
2025-08-27,27347
2025-08-28,27835
2025-08-29,19567
2025-08-30,20256
2025-08-31,25653
2025-09-01,24167
2025-09-02,26687
2025-09-03,21134
2025-09-04,26487
2025-09-05,27694
2025-09-06,25679
2025-09-07,27351
2025-09-08,41193
2025-09-09,45823
2025-09-10,37537
2025-09-11,42067
2025-09-12,27294
2025-09-13,22165
2025-09-14,15252
2025-09-15,26726
2025-09-16,31641
2025-09-17,28584
2025-09-18,31688
2025-09-19,31073
2025-09-20,24231
2025-09-21,21817
2025-09-22,28756
2025-09-23,31289
2025-09-24,31834
2025-09-25,32476
2025-09-26,27708
2025-09-27,25523
2025-09-28,18199
2025-09-29,29911
2025-09-30,34373
2025-10-01,32287
2025-10-02,32413
2025-10-03,20567
2025-10-04,21913
2025-10-05,20374
2025-10-06,31434
2025-10-07,33204
2025-10-08,33297
2025-10-09,33769
2025-10-10,29719
2025-10-11,26603
2025-10-12,22172
2025-10-13,29858
2025-10-14,31942
2025-10-15,32087
2025-10-16,29494
2025-10-17,28042
2025-10-18,24473
2025-10-19,14381
2025-10-20,18824
2025-10-21,31017
2025-10-22,29925
2025-10-23,23107
2025-10-24,26825
2025-10-25,22256
2025-10-26,18162
2025-10-27,27260
2025-10-28,30494
2025-10-29,23640
2025-10-30,29854
2025-10-31,21079
2025-11-01,20047
2025-11-02,18059
2025-11-03,25501
2025-11-04,30018
2025-11-05,30248
2025-11-06,29943
2025-11-07,25429
2025-11-08,23184
2025-11-09,20140
2025-11-10,23649
2025-11-11,30151
2025-11-12,31474
2025-11-13,28334
2025-11-14,18697
2025-11-15,21504
2025-11-16,17920
2025-11-17,26156
2025-11-18,27927
2025-11-19,22065
2025-11-20,25710
2025-11-21,23129
2025-11-22,11411
2025-11-23,15772
2025-11-24,23402
2025-11-25,28109
2025-11-26,27139
2025-11-27,27580
2025-11-28,25760
2025-11-29,17020
2025-11-30,17534
2025-12-01,20259
2025-12-02,26622
2025-12-03,27235
2025-12-04,21863
2025-12-05,21486
2025-12-06,18132
2025-12-07,12797
2025-12-08,23920
2025-12-09,25934
2025-12-10,28750
2025-12-11,28297
2025-12-12,23850
2025-12-13,20912
2025-12-14,16474
2025-12-15,23020
2025-12-16,23408
2025-12-17,23344
2025-12-18,15833
2025-12-19,20159
2025-12-20,14975
2025-12-21,9502
2025-12-22,15832
2025-12-23,13204
2025-12-24,8601
2025-12-25,15085
2025-12-26,6557
2025-12-27,8895
2025-12-28,8764
2025-12-29,11285
2025-12-30,12203
2025-12-31,11358
2026-01-01,7902
2026-01-02,11065
2026-01-03,10186
2026-01-04,9358
2026-01-05,17186
2026-01-06,17733
2026-01-07,20613
2026-01-08,15267
2026-01-09,15531
2026-01-10,14618
2026-01-11,11698
2026-01-12,22207
2026-01-13,18588
2026-01-14,25024
2026-01-15,18243
2026-01-16,22245
2026-01-17,19017
2026-01-18,16458
2026-01-19,24746
2026-01-20,26785
2026-01-21,18252
2026-01-22,23436
2026-01-23,21708
2026-01-24,19345
2026-01-25,13885
2026-01-26,24024
2026-01-27,20067
2026-01-28,26938
2026-01-29,26042
2026-01-30,19516
2026-01-31,19243
2026-02-01,11196
2026-02-02,22738
2026-02-03,17181
2026-02-04,26494
2026-02-05,18448
2026-02-06,19120
2026-02-07,15123
2026-02-08,15897
2026-02-09,24296
2026-02-10,21172
2026-02-11,13769
2026-02-12,21707
2026-02-13,20668
2026-02-14,18074
2026-02-15,8597
2026-02-16,21450
2026-02-17,25185
2026-02-18,20310
2026-02-19,22507
2026-02-20,18986
2026-02-21,17007
2026-02-22,15910
2026-02-23,22762
2026-02-24,27797
2026-02-25,29431
2026-02-26,26994
2026-02-27,22915
2026-02-28,18833
2026-03-01,15208
2026-03-02,27019
2026-03-03,28878
2026-03-04,28136
2026-03-05,29882
2026-03-06,17894
2026-03-07,20185
2026-03-08,17440
2026-03-09,26327
2026-03-10,28573
2026-03-11,28382
2026-03-12,26268
2026-03-13,23245
2026-03-14,21644
2026-03-15,14661
2026-03-16,24854
2026-03-17,29902
2026-03-18,31663
2026-03-19,30795
2026-03-20,26647
2026-03-21,24560
2026-03-22,19667
2026-03-23,27165
2026-03-24,27118
2026-03-25,25230
2026-03-26,27954
2026-03-27,21174
2026-03-28,20744
2026-03-29,14419
2026-03-30,23936
2026-03-31,27392
2026-04-01,26053
2026-04-02,23975
2026-04-03,15456
2026-04-04,17185
2026-04-05,16116
2026-04-06,19711
2026-04-07,27576
2026-04-08,31031
2026-04-09,27992
2026-04-10,24592
2026-04-11,19878
2026-04-12,18728
2026-04-13,25481
2026-04-14,29302
2026-04-15,27800
2026-04-16,28917
2026-04-17,27053
2026-04-18,26088
2026-04-19,23274
2026-04-20,27526
2026-04-21,33542
2026-04-22,35684
2026-04-23,35545
2026-04-24,33733
2026-04-25,29951
2026-04-26,25039
2026-04-27,30090
2026-04-28,31215
2026-04-29,31718
2026-04-30,32391
2026-05-01,31588
2026-05-02,24012
